FIPS,Admin2,Province_State,Combined_Key,Population,Confirmed,Confirmed per 100K,Deaths,Deaths per 100K
"""49001""",Beaver,Utah,"Beaver, Utah, US",6710,0,0.0,0,0.0
"""49003""",Box Elder,Utah,"Box Elder, Utah, US",56046,0,0.0,0,0.0
"""49005""",Cache,Utah,"Cache, Utah, US",128289,0,0.0,0,0.0
"""49007""",Carbon,Utah,"Carbon, Utah, US",20463,0,0.0,0,0.0
"""49009""",Daggett,Utah,"Daggett, Utah, US",950,0,0.0,0,0.0
"""49011""",Davis,Utah,"Davis, Utah, US",355481,3194,898.5009044083931,21,5.907488726542347
"""49013""",Duchesne,Utah,"Duchesne, Utah, US",19938,0,0.0,0,0.0
"""49015""",Emery,Utah,"Emery, Utah, US",10012,0,0.0,0,0.0
"""49017""",Garfield,Utah,"Garfield, Utah, US",5051,0,0.0,0,0.0
"""49019""",Grand,Utah,"Grand, Utah, US",9754,0,0.0,0,0.0
"""49021""",Iron,Utah,"Iron, Utah, US",54839,0,0.0,0,0.0
"""49023""",Juab,Utah,"Juab, Utah, US",12017,0,0.0,0,0.0
"""49025""",Kane,Utah,"Kane, Utah, US",7886,0,0.0,0,0.0
"""49027""",Millard,Utah,"Millard, Utah, US",13188,0,0.0,0,0.0
"""49029""",Morgan,Utah,"Morgan, Utah, US",12124,0,0.0,0,0.0
"""49031""",Piute,Utah,"Piute, Utah, US",1479,0,0.0,0,0.0
"""49033""",Rich,Utah,"Rich, Utah, US",2483,0,0.0,0,0.0
"""49035""",Salt Lake,Utah,"Salt Lake, Utah, US",1160437,20446,1761.9224481811593,189,16.286967754389078
"""49037""",San Juan,Utah,"San Juan, Utah, US",15308,648,4233.080742095636,25,163.31330023517114
"""49039""",Sanpete,Utah,"Sanpete, Utah, US",30939,0,0.0,0,0.0
"""49041""",Sevier,Utah,"Sevier, Utah, US",21620,0,0.0,0,0.0
"""49043""",Summit,Utah,"Summit, Utah, US",42145,706,1675.1690592003797,1,2.372760707082691
"""49045""",Tooele,Utah,"Tooele, Utah, US",72259,579,801.2842690875876,0,0.0
"""49047""",Uintah,Utah,"Uintah, Utah, US",35734,0,0.0,0,0.0
"""49049""",Utah,Utah,"Utah, Utah, US",636235,8630,1356.4170471602474,37,5.81546126824208
"""49051""",Wasatch,Utah,"Wasatch, Utah, US",34091,558,1636.7956352116394,4,11.73330204452788
"""49053""",Washington,Utah,"Washington,Utah,US",177556,0,0.0,0,0.0
"""49055""",Wayne,Utah,"Wayne, Utah, US",2711,0,0.0,0,0.0
"""49057""",Weber,Utah,"Weber,Utah,US",260213,0,0.0,0,0.0
"""50001""",Addison,Vermont,"Addison, Vermont, US",36777,73,198.49362373222397,2,5.4381814721157244
"""50003""",Bennington,Vermont,"Bennington, Vermont, US",35470,85,239.63913166055823,1,2.8192839018889204
"""50005""",Caledonia,Vermont,"Caledonia, Vermont, US",29993,26,86.68689360850865,0,0.0
"""50007""",Chittenden,Vermont,"Chittenden, Vermont, US",163774,728,444.51500238133036,39,23.81330369899984
"""50009""",Essex,Vermont,"Essex, Vermont, US",6163,6,97.35518416355671,0,0.0
"""50011""",Franklin,Vermont,"Franklin, Vermont, US",49402,118,238.85672644832195,7,14.169466823205537
"""50013""",Grand Isle,Vermont,"Grand Isle, Vermont, US",7235,13,179.6821008984105,0,0.0
"""50015""",Lamoille,Vermont,"Lamoille, Vermont, US",25362,43,169.54498856557055,1,3.9429067108272218
