Date,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham
6/17/20,143.32175734524006,149.26210021082852,74.86150621350501,105.27223029377724,123.07591514313424,38.08360293507688,41.7990857279344,11.98814885855697
6/18/20,143.32175734524006,149.82281433633878,74.86150621350501,105.88785737151863,123.07591514313424,38.08360293507688,42.462563279171455,11.98814885855697
6/19/20,143.63977899615404,150.383528461849,74.86150621350501,105.88785737151863,123.54388440223362,38.08360293507688,42.462563279171455,11.98814885855697
6/20/20,144.27582229798205,150.71995693715516,74.86150621350501,105.88785737151863,124.01185366133298,38.08360293507688,42.462563279171455,11.98814885855697
6/21/20,144.27582229798205,151.39281388776746,74.86150621350501,107.1191115270014,124.12884597610783,38.08360293507688,42.462563279171455,11.98814885855697
6/22/20,144.38182951495338,151.39281388776746,74.86150621350501,107.1191115270014,124.36283060565752,38.08360293507688,42.462563279171455,11.98814885855697
6/23/20,144.91186559981003,151.61709953797157,75.41603588916061,108.96599276022556,124.5968152352072,38.46066831067171,42.462563279171455,11.98814885855697
6/24/20,145.22988725072403,152.06567083837976,75.41603588916061,110.19724691570833,124.71380754998205,38.46066831067171,42.462563279171455,11.98814885855697
6/25/20,145.547908901638,152.73852778899206,75.41603588916061,110.19724691570833,124.94779217953173,38.46066831067171,42.462563279171455,11.98814885855697
6/26/20,145.75992333558068,153.0749562642982,75.41603588916061,112.04412814893249,125.06478449430658,38.46066831067171,42.462563279171455,11.98814885855697
6/27/20,145.75992333558068,153.5235275647064,75.41603588916061,112.04412814893249,125.06478449430658,38.46066831067171,42.462563279171455,11.98814885855697
6/28/20,145.75992333558068,153.5235275647064,75.41603588916061,112.65975522667388,125.53275375340594,38.46066831067171,42.462563279171455,11.98814885855697
6/29/20,145.86593055255202,153.63567038980847,75.41603588916061,112.65975522667388,125.76673838295564,38.46066831067171,42.462563279171455,11.98814885855697
6/30/20,145.86593055255202,153.63567038980847,75.9705655648162,113.27538230441529,125.76673838295564,38.46066831067171,42.462563279171455,11.98814885855697
7/1/20,145.86593055255202,153.97209886511462,75.9705655648162,113.89100938215665,125.53275375340594,38.46066831067171,42.462563279171455,11.98814885855697
7/2/20,145.86593055255202,154.08424169021666,75.9705655648162,113.89100938215665,125.64974606818079,38.46066831067171,42.462563279171455,11.98814885855697
7/3/20,145.97193776952335,154.53281299062488,75.9705655648162,114.50663645989805,126.00072301250532,38.46066831067171,42.462563279171455,11.98814885855697
7/4/20,145.97193776952335,154.53281299062488,75.9705655648162,114.50663645989805,126.00072301250532,38.46066831067171,42.462563279171455,11.98814885855697
7/5/20,145.97193776952335,154.53281299062488,75.9705655648162,114.50663645989805,126.00072301250532,38.46066831067171,42.462563279171455,11.98814885855697
7/6/20,145.97193776952335,154.75709864082896,75.9705655648162,114.50663645989805,126.11771532728017,38.46066831067171,42.462563279171455,11.98814885855697
7/7/20,145.97193776952335,154.75709864082896,75.9705655648162,114.50663645989805,126.11771532728017,38.46066831067171,42.462563279171455,11.98814885855697
7/8/20,146.07794498649469,154.98138429103307,75.9705655648162,115.12226353763944,126.23470764205499,38.46066831067171,42.462563279171455,11.98814885855697
7/9/20,146.28995942043733,155.31781276633922,75.9705655648162,115.12226353763944,126.23470764205499,38.46066831067171,42.462563279171455,11.98814885855697
7/10/20,146.28995942043733,155.31781276633922,75.9705655648162,115.12226353763944,126.23470764205499,38.46066831067171,42.462563279171455,11.98814885855697
7/11/20,146.28995942043733,155.31781276633922,75.9705655648162,115.12226353763944,126.23470764205499,38.46066831067171,42.462563279171455,11.98814885855697
7/12/20,146.28995942043733,155.31781276633922,75.9705655648162,115.12226353763944,126.23470764205499,38.46066831067171,42.462563279171455,11.98814885855697
7/13/20,146.819995505294,155.99066971695152,77.07962491612739,115.12226353763944,127.17064616025372,38.08360293507688,43.126040830408506,11.98814885855697
